url,page,phase,spoiler,basis,production_status,primary_query,search_intent,notes
/,Ateshism.com homepage,L,S0,N,published,Ateshism,navigational,
/start/,Start Here: The Ateshi World,L,S0,N,published,Ateshi world guide,informational,
/books/,Books of the Ateshi World,L,S0,N,published,Ateshi world books,commercial-investigation,
/books/the-ashen-flame/,The Ashen Flame,L,S1,N,published,The Ashen Flame Alexei Sassani,commercial-investigation,
/books/the-ashen-flame/extract/,Read an Extract,L,S1,N,published,The Ashen Flame extract,commercial-investigation,
/books/series/,The Ateshi Series,P1,S0,C?,planned,,,
/glossary/,Ateshi Glossary,L,S0,N,published,Ateshi glossary,informational,
/about/alexei-sassani/,Alexei Sassani,P1,S0,NEW,planned,,,
/faith/,Faith hub,L,S0,N,published,Ateshism beliefs,entity-definition,
/faith/what-is-ateshism/,What Is Ateshism?,L,S0,N+C,published,what is Ateshism,entity-definition,
/faith/eternal-flame/,The Eternal Flame,L,S0,N+C,published,Eternal Flame Ateshism,informational,
/faith/five-pillars/,The Five Pillars,L,S0,N+C,published,Five Pillars of Ateshism,informational,
/faith/divine-immanence/,Divine Immanence,P1,S0,N+C,planned,,,
/faith/presence/,Presence: The Central Ateshi Discipline,P1,S0,N+C,planned,,,
/faith/sacred-witnessing/,Sacred Witnessing,P1,S0,N+C,planned,,,
/faith/first-burning/,The First Burning,P1,S0,C?,planned,,,
/faith/mehr-arahita/,Mehr Arahita,L,S0,N+C,published,Mehr Arahita,entity-definition,
/faith/revelation/,Revelation Without Dictation,P1,S0,N+C,planned,,,
/faith/book-of-fire/,The Book of Fire,L,S0,N+C,published,Book of Fire Ateshism,entity-definition,
/faith/book-of-hidden-flame/,The Book of the Hidden Flame,L,S0,N+C,published,Book of the Hidden Flame,entity-definition,
/faith/canon-authenticity/,"Canon, Authorship and Authenticity",P1,S0,N+C,planned,,,
/faith/fire/,Why Fire?,L,S0,N+C,published,why fire in Ateshism,informational,
/faith/body/,The Body in Ateshi Theology,L,S0,N+C,published,body in Ateshi theology,informational,
/faith/divine-manifestation/,Divine Manifestation,P1,S0,N+C,planned,,,
/faith/refusal/,Refusal Outranks Blessing,P1,S0,N,planned,,,
/faith/consent/,Consent in Ateshi Theology,L,S0,N+C,published,consent in Ateshi theology,informational,
/faith/ethics/,Ateshi Ethics,P1,S0,N+C,planned,,,
/faith/honesty/,"Honesty, Presence and Self-Deception",P2,S0,C?,planned,,,
/faith/death-afterlife/,Death and the Afterlife,P2,S0,N+C,planned,,,
/faith/debates-scholarship/,Debates and Scholarship,L,S0,N+C,published,Ateshism debates,informational,
/practice/,Worship and Practice hub,L,S0,N,published,Ateshi worship and practice,informational,
/practice/wednesday/,"Wednesday, the Ateshi Holy Day",L,S0,N+C,published,Ateshi Wednesday worship,informational,
/practice/prayer/,Prayer Without Petition,P1,S0,C?,planned,,,
/practice/prayer-urn/,The Prayer Urn,L,S0,N+C,published,Ateshi prayer urn,entity-definition,
/practice/seven-count-breathing/,Seven-Count Breathing,P1,S0,N+C,planned,,,
/practice/temple-etiquette/,Visiting an Ateshi Temple,L,S0,N+C,published,Ateshi temple etiquette,informational,
/practice/greetings/,"Greeting, Touch and Physical Affection",P1,S0,N+C,planned,,,
/practice/nawruz/,Nawruz in Ateshi Society,P1,S0,N+C,planned,,,
/practice/marriage/,Ateshi Marriage Ceremony,P2,S0,N+C,planned,,,
/practice/funerals/,Funeral and Memorial Customs,P2,S0,C?,planned,,,
/practice/tattoos/,Sacred Marks and Institutional Tattoos,P1,S0,N,planned,,,
/practice/unbound-chest/,The Unbound Chest Doctrine,L,S0,N+C,published,Unbound Chest doctrine,entity-definition,
/institutions/,Institutions hub,L,S0,N,published,Ateshi religious institutions,informational,
/institutions/temple-system/,The Ateshi Temple System,L,S0,N+C,published,Ateshi Temple system,entity-definition,
/institutions/rose-mothers/,Rose Mothers,L,S0,N,published,Rose Mothers Ateshism,entity-definition,
/institutions/ash-order/,The Ash Order,L,S0,N,published,Ash Order Ateshism,entity-definition,
/institutions/ash-mothers/,Ash Mothers: Investigators of the Temple,L,S0,N,published,Ash Mothers,entity-definition,
/institutions/rose-formation/,Becoming a Rose Mother,P2,S0,N+C,planned,,,
/institutions/ash-formation/,Ash Formation and Examinations,P1,S0,N,planned,,,
/institutions/ash-ranks/,Ranks of the Ash Order,L,S0,N,published,Ash Order ranks,informational,
/institutions/rose-council/,The Rose Council,P2,S1,N,planned,,,
/institutions/keeper-of-ashes/,The Keeper of Ashes,P2,S1,N,planned,,,
/institutions/common-ember/,The Common Ember,P1,S0,N,planned,,,
/institutions/temple-wealth/,Temple Wealth and Public Service,P1,S1,N+C,planned,,,
/institutions/oversight-corruption/,"Oversight, Corruption and Institutional Power",P2,S1,N+C,planned,,,
/institutions/male-ordination/,The Male Ordination Debate,P1,S1,N,planned,,,
/society/,Society and Culture hub,L,S0,N,published,Ateshi society,informational,
/society/family/,Family Life,L,S0,N+C,published,Ateshi family life,informational,
/society/women/,Women in Ateshi Society,P1,S0,N+C,planned,,,
/society/men/,Men in Ateshi Society,P1,S0,N+C,planned,,,
/society/children/,Childhood and Coming of Age,P2,S0,N+C,planned,,,
/society/marriage/,"Marriage, Household and Partnership",L,S0,N+C,published,Ateshi marriage,informational,
/society/sister-bonds/,Sister-Bonds,L,S1,N,published,Ateshi Sister-Bonds,entity-definition,
/society/temporary-marriage/,Temporary Marriage,P1,S0,N,planned,,,
/society/sacred-multiplicity/,Sacred Multiplicity,P2,S0,N+C,planned,,,
/society/dating-courtship/,Dating and Courtship,P2,S0,N+C,planned,,,
/society/sexuality/,Sexuality and Religious Law,P1,S0,N+C,planned,,,
/society/same-sex-love/,Same-Sex Love and Partnership,P1,S0,N+C,planned,,,
/society/consent-law/,"Consent, Documentation and the Law",P1,S0,N,planned,,,
/society/dress-body/,"Dress, Modesty and the Body",P1,S0,N+C,planned,,,
/society/tattoo-law/,Who May Be Tattooed?,P2,S0,N,planned,,,
/society/education/,"Schools, Universities and Formation",P2,S0,N+C,planned,,,
/society/work-class/,"Work, Wealth and Social Class",P2,S0,N+C,planned,,,
/society/law-government/,"Law, Monarchy and Civil Government",P2,S0,N+C,planned,,,
/society/languages/,Languages of the Compact,P1,S0,N,planned,,,
/society/affection-etiquette/,"Affection, Hospitality and Social Etiquette",P2,S0,N+C,planned,,,
/history/,History hub,L,S0,N+C,published,Ateshi history,informational,
/history/timeline/,Complete Ateshi Timeline,L,S0,N+C,published,Ateshi history timeline,informational,
/history/before-ateshism/,Persia Before Ateshism,P1,S0,C?,planned,,,
/history/mehr-arahita/,Mehr Arahita and the Founding Movement,P1,S0,N+C,planned,,,
/history/early-movement/,The First Followers,P2,S0,C?,planned,,,
/history/concealment/,The Concealment Period,P2,S0,C?,planned,,,
/history/hidden-flame-text/,The Appearance of the Second Book,P2,S0,N+C,planned,,,
/history/persian-expansion/,The Expansion of Ateshi Persia,P2,S0,N+C,planned,,,
/history/caucasus/,Conversion and Conquest in the Caucasus,P2,S0,C?,planned,,,
/history/khazar-integration/,The Khazar Integration,H,S0,C?,planned,,,
/history/kiev-rus/,The Conquest of Kyiv and the Rus,H,S0,C?,planned,,,
/history/baltic-campaigns/,The Baltic Campaigns,H,S0,C?,planned,,,
/history/derbent/,Derbent and the Mongol Wars,H,S0,C?,planned,,,
/history/byzantium-ottomans/,"Byzantium, the Ottomans and Ateshi Diplomacy",H,S0,C?,planned,,,
/history/renaissance-exchange/,Renaissance Exchange with Europe,H,S0,C?,planned,,,
/history/mughal-relations/,Ateshi Persia and the Mughal Court,H,S0,C?,planned,,,
